[01:32:05] standings queue=2025-2026, 2024-2025, 2023-2024, 2022-2023, 2021-2022, 2020-2021, 2019-2020, 2018-2019, 2017-2018, 2016-2017, 2015-2016, 2014-2015, 2013-2014, 2012-2013, 2011-2012, 2010-2011, 2009-2010, 2008-2009, 2007-2008, 2006-2007, 2005-2006, 2004-2005, 2003-2004, 2002-2003, 2001-2002, 2000-2001, 1999-2000, 1998-1999, 1997-1998, 1996-1997, 1995-1996, 1994-1995, 1993-1994, 1992-1993, 1991-1992, 1990-1991
[01:32:05] 2025-2026: hedef TFF URL yok
[01:32:05] 2024-2025: resmi haftalık tablo deneniyor
[01:33:57] 2024-2025: resmi hafta 1/30 tablo=var
[01:35:28] 2024-2025: resmi hafta 2/30 tablo=var
[01:37:20] 2024-2025: resmi hafta 3/30 tablo=var
[01:38:57] 2024-2025: resmi hafta 4/30 tablo=var
[01:40:29] 2024-2025: resmi hafta 5/30 tablo=var
[01:41:55] 2024-2025: resmi hafta 6/30 tablo=var
[01:43:17] 2024-2025: resmi hafta 7/30 tablo=var
[01:44:39] 2024-2025: resmi hafta 8/30 tablo=var
[01:45:58] 2024-2025: resmi hafta 9/30 tablo=var
[01:47:21] 2024-2025: resmi hafta 10/30 tablo=var
[01:48:52] 2024-2025: resmi hafta 11/30 tablo=var
[01:50:56] 2024-2025: resmi hafta 12/30 tablo=var
[01:52:29] 2024-2025: resmi hafta 13/30 tablo=var
[01:54:00] 2024-2025: resmi hafta 14/30 tablo=var
[01:55:29] 2024-2025: resmi hafta 15/30 tablo=var
[01:57:02] 2024-2025: resmi hafta 16/30 tablo=var
[01:58:36] 2024-2025: resmi hafta 17/30 tablo=var
[02:00:22] 2024-2025: resmi hafta 18/30 tablo=var
[02:02:06] 2024-2025: resmi hafta 19/30 tablo=var
[02:03:58] 2024-2025: resmi hafta 20/30 tablo=var
[02:05:40] 2024-2025: resmi hafta 21/30 tablo=var
[02:07:16] 2024-2025: resmi hafta 22/30 tablo=var
[02:08:48] 2024-2025: resmi hafta 23/30 tablo=var
